none,none,none,TimeStamp,EventID,TTLValue,none,none,none,Extra0,Extra1,Extra2,Extra3,Extra4,Extra5,Extra6,Extra7,Eventstring

0, 0, 0, 652829114, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a
0, 0, 0, 3952829114, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b
0, 0, 0, 4084574592, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a
2048, 4098, 2, 4091608910, 119, -32763, -12677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8005
2048, 4098, 2, 4091611971, 119, -32747, -12667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8015
2048, 4098, 2, 4093761852, 119, -32699, 13008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8045
2048, 4098, 2, 4094581379, 119, -32762, 21140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8006
2048, 4098, 2, 4094586052, 119, -32746, 21205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8016
2048, 4098, 2, 4096299282, 119, -32698, -28176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8046
2048, 4098, 2, 4097105534, 119, -32768, -20183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8000
2048, 4098, 2, 4097108594, 119, -32752, -20133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8010
2048, 4098, 2, 4098612649, 119, -32704, -952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8040
2048, 4098, 2, 4099416717, 119, -32766, 8051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8002
2048, 4098, 2, 4099419776, 119, -32750, 8065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8012
2048, 4098, 2, 4100658583, 119, -32702, 12221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8042
2048, 4098, 2, 4101464675, 119, -32764, 20340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8004
2048, 4098, 2, 4101467734, 119, -32748, 20359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8014
2048, 4098, 2, 4102218053, 119, -32700, 26790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8044
2048, 4098, 2, 4102952098, 119, -32768, -27243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8000
2048, 4098, 2, 4102955158, 119, -32752, -27206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8010
2048, 4098, 2, 4104738387, 119, -32704, -12526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8040
2048, 4098, 2, 4105546369, 119, -32765, -4383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8003
2048, 4098, 2, 4105549430, 119, -32749, -4336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8013
2048, 4098, 2, 4108058197, 119, -32701, 19779, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8043
2048, 4098, 2, 4108794296, 119, -32766, 27073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8002
2048, 4098, 2, 4108797356, 119, -32750, 27122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8012
2048, 4098, 2, 4109949714, 119, -32702, -17745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8042
2048, 4098, 2, 4110685431, 119, -32765, -22623, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8003
2048, 4098, 2, 4110688492, 119, -32749, -22573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RecID: 4098 Port: 0 TTL Value: 0x8013
